,time,id,temp,hum,PM1,PM2.5,PM10,EMA_0.1-PM2.5,upper_bound,lower_bound,outlier_ema,outlier_DBSCAN,PM2.5_updated,PM2.5_outlier,PM2.5_updatedARIMA
0,2021-03-18 17:01:52 CET,1,25.2,35.7,4.04,4.45,4.45,4.45,20.171109788266858,-11.271109788266859,False,False,4.45,False,4.45
1,2021-03-18 17:06:35 CET,2,25.2,35.6,5.35,13.51,22.28,5.356,21.07710978826686,-10.365109788266858,False,False,13.51,False,13.51
2,2021-03-18 17:11:17 CET,3,25.1,36.1,6.42,13.1,20.04,6.1304,21.85150978826686,-9.590709788266858,False,False,13.1,False,13.1
3,2021-03-18 17:14:03 CET,4,25.4,36.4,2.3,8.11,14.53,6.32836,22.049469788266858,-9.392749788266858,False,False,8.11,False,8.11
4,2021-03-18 17:15:26 CET,5,25.4,36.6,10.02,34.1,60.64,9.105523999999999,24.826633788266857,-6.615585788266859,False,False,34.1,False,34.1
5,2021-03-18 17:19:28 CET,6,25.3,37.0,6.73,19.18,32.71,10.112971599999998,25.834081388266856,-5.60813818826686,False,False,19.18,False,19.18
6,2021-03-18 17:20:11 CET,7,25.3,37.0,1.08,3.56,6.28,9.457674439999998,25.178784228266856,-6.26343534826686,False,False,3.56,False,3.56
7,2021-03-18 17:22:14 CET,8,25.4,36.9,3.08,5.65,8.25,9.076906995999998,24.798016784266856,-6.64420279226686,False,False,5.65,False,5.65
8,2021-03-18 17:33:35 CET,9,25.3,36.9,2.02,2.23,2.23,8.392216296399999,24.11332608466686,-7.328893491866859,False,False,2.23,False,2.23
9,2021-03-18 17:39:11 CET,10,25.2,37.8,1.35,1.48,1.48,7.700994666759999,23.422104455026858,-8.020115121506858,False,False,1.48,False,1.48
10,2021-03-18 17:40:17 CET,11,25.2,37.8,2.36,4.6,6.89,7.390895200083999,23.112004988350858,-8.330214588182859,False,False,4.6,False,4.6
11,2021-03-18 17:45:16 CET,12,25.1,37.7,5.39,5.93,5.93,7.244805680075599,22.96591546834246,-8.47630410819126,False,False,5.93,False,5.93
12,2021-03-18 17:50:16 CET,13,24.2,34.0,3.74,10.2,17.19,7.5403251120680395,23.261434900334898,-8.180784676198819,False,False,10.2,False,10.2
13,2021-03-18 17:55:16 CET,14,24.5,34.5,2.34,4.43,6.57,7.2292926008612355,22.950402389128094,-8.491817187405623,False,False,4.43,False,4.43
14,2021-03-18 18:00:16 CET,15,24.5,33.2,3.11,9.75,17.03,7.481363340775113,23.20247312904197,-8.239746447491745,False,False,9.75,False,9.75
15,2021-03-18 18:05:16 CET,16,23.9,33.8,2.09,6.63,11.61,7.396227006697602,23.11733679496446,-8.324882781569256,False,False,6.63,False,6.63
16,2021-03-18 18:10:16 CET,17,24.3,34.7,3.34,11.38,20.24,7.794604306027842,23.5157140942947,-7.926505482239016,False,False,11.38,False,11.38
17,2021-03-18 18:15:16 CET,18,24.7,35.0,3.08,5.65,8.25,7.580143875425058,23.301253663691917,-8.1409659128418,False,False,5.65,False,5.65
19,2021-03-18 19:05:05 CET,20,21.8,29.8,5.21,12.59,20.47,8.081129487882553,23.80223927614941,-7.639980300384305,False,False,12.59,False,12.59
20,2021-03-18 19:05:21 CET,21,21.7,29.8,4.35,14.45,25.56,8.718016539094297,24.439126327361155,-7.0030932491725615,False,False,14.45,False,14.45
21,2021-03-18 19:11:46 CET,22,7.7,42.9,4.31,14.15,24.97,9.261214885184867,24.982324673451725,-6.459894903081992,False,False,14.15,False,14.15
22,2021-03-18 19:20:17 CET,23,4.3,51.4,4.95,6.87,8.49,9.02209339666638,24.743203184933236,-6.699016391600479,False,False,6.87,False,6.87
23,2021-03-18 19:24:29 CET,24,4.2,51.6,4.34,10.48,17.03,9.167884056999743,24.8889938452666,-6.553225731267116,False,False,10.48,False,10.48
24,2021-03-18 19:25:16 CET,25,4.0,52.2,4.04,4.45,4.45,8.69609565129977,24.41720543956663,-7.025014136967089,False,False,4.45,False,4.45
25,2021-03-18 19:26:54 CET,26,3.9,52.1,5.27,16.91,29.68,9.517486086169793,25.23859587443665,-6.203623702097065,False,False,16.91,False,16.91
26,2021-03-18 19:30:16 CET,27,4.0,52.1,7.32,15.39,23.83,10.104737477552813,25.82584726581967,-5.616372310714045,False,False,15.39,False,15.39
27,2021-03-18 19:34:08 CET,28,3.9,53.1,7.16,18.25,30.17,10.919263729797532,26.64037351806439,-4.8018460584693266,False,False,18.25,False,18.25
28,2021-03-18 19:35:16 CET,29,3.9,53.6,5.41,17.9,31.63,11.617337356817778,27.338447145084636,-4.10377243144908,False,False,17.9,False,17.9
29,2021-03-18 19:40:16 CET,30,3.8,54.1,2.69,2.97,2.97,10.752603621136002,26.473713409402862,-4.968506167130856,False,False,2.97,False,2.97
30,2021-03-18 19:42:51 CET,31,3.7,55.7,5.99,10.15,14.22,10.692343259022403,26.41345304728926,-5.028766529244455,False,False,10.15,False,10.15
31,2021-03-18 19:45:16 CET,32,3.5,56.7,3.34,11.38,20.24,10.761108933120163,26.48221872138702,-4.960000855146696,False,False,11.38,False,11.38
32,2021-03-18 19:50:18 CET,33,3.4,57.5,6.75,11.44,16.05,10.828998039808146,26.550107828075006,-4.892111748458712,False,False,11.44,False,11.44
33,2021-03-18 19:55:21 CET,34,3.4,57.2,4.68,8.86,13.13,10.632098235827332,26.35320802409419,-5.089011552439526,False,False,8.86,False,8.86
34,2021-03-18 20:00:16 CET,35,3.5,57.2,7.28,19.1,31.84,11.478888412244599,27.19999820051146,-4.242221376022259,False,False,19.1,False,19.1
35,2021-03-18 20:05:16 CET,36,3.4,57.9,3.68,5.91,8.03,10.92199957102014,26.643109359286996,-4.799110217246719,False,False,5.91,False,5.91
36,2021-03-18 20:10:16 CET,37,3.3,59.3,5.45,14.23,23.69,11.252799613918125,26.973909402184983,-4.4683101743487335,False,False,14.23,False,14.23
