time,id,temp,hum,PM1,PM2.5,PM10
2021-03-18 17:01:52 CET,1,25.2,35.7,4.04,4.45,4.45
2021-03-18 17:06:35 CET,2,25.2,35.6,5.35,13.51,22.28
2021-03-18 17:11:17 CET,3,25.1,36.1,6.42,13.1,20.04
2021-03-18 17:14:03 CET,4,25.4,36.4,2.3,8.11,14.53
2021-03-18 17:15:26 CET,5,25.4,36.6,10.02,34.1,60.64
2021-03-18 17:19:28 CET,6,25.3,37.0,6.73,19.18,32.71
2021-03-18 17:20:11 CET,7,25.3,37.0,1.08,3.56,6.28
2021-03-18 17:22:14 CET,8,25.4,36.9,3.08,5.65,8.25
2021-03-18 17:33:35 CET,9,25.3,36.9,2.02,2.23,2.23
2021-03-18 17:39:11 CET,10,25.2,37.8,1.35,1.48,1.48
2021-03-18 17:40:17 CET,11,25.2,37.8,2.36,4.6,6.89
2021-03-18 17:45:16 CET,12,25.1,37.7,5.39,5.93,5.93
2021-03-18 17:50:16 CET,13,24.2,34.0,3.74,10.2,17.19
2021-03-18 17:55:16 CET,14,24.5,34.5,2.34,4.43,6.57
2021-03-18 18:00:16 CET,15,24.5,33.2,3.11,9.75,17.03
2021-03-18 18:05:16 CET,16,23.9,33.8,2.09,6.63,11.61
2021-03-18 18:10:16 CET,17,24.3,34.7,3.34,11.38,20.24
2021-03-18 18:15:16 CET,18,24.7,35.0,3.08,5.65,8.25
2021-03-18 18:24:14 CET,19,0,,,,
2021-03-18 19:05:05 CET,20,21.8,29.8,5.21,12.59,20.47
2021-03-18 19:05:21 CET,21,21.7,29.8,4.35,14.45,25.56
2021-03-18 19:11:46 CET,22,7.7,42.9,4.31,14.15,24.97
2021-03-18 19:20:17 CET,23,4.3,51.4,4.95,6.87,8.49
2021-03-18 19:24:29 CET,24,4.2,51.6,4.34,10.48,17.03
2021-03-18 19:25:16 CET,25,4.0,52.2,4.04,4.45,4.45
2021-03-18 19:26:54 CET,26,3.9,52.1,5.27,16.91,29.68
2021-03-18 19:30:16 CET,27,4.0,52.1,7.32,15.39,23.83
2021-03-18 19:34:08 CET,28,3.9,53.1,7.16,18.25,30.17
2021-03-18 19:35:16 CET,29,3.9,53.6,5.41,17.9,31.63
2021-03-18 19:40:16 CET,30,3.8,54.1,2.69,2.97,2.97
2021-03-18 19:42:51 CET,31,3.7,55.7,5.99,10.15,14.22
2021-03-18 19:45:16 CET,32,3.5,56.7,3.34,11.38,20.24
2021-03-18 19:50:18 CET,33,3.4,57.5,6.75,11.44,16.05
2021-03-18 19:55:21 CET,34,3.4,57.2,4.68,8.86,13.13
2021-03-18 20:00:16 CET,35,3.5,57.2,7.28,19.1,31.84
2021-03-18 20:05:16 CET,36,3.4,57.9,3.68,5.91,8.03
2021-03-18 20:10:16 CET,37,3.3,59.3,5.45,14.23,23.69
2021-03-18 20:15:16 CET,38,3.3,60.2,6.08,18.57,32.22
2021-03-18 20:20:16 CET,39,3.0,61.2,6.9,16.4,26.53
2021-03-18 20:25:16 CET,40,2.9,60.9,6.06,6.68,6.68
2021-03-18 20:30:16 CET,41,2.9,61.2,5.76,12.44,19.45
2021-03-18 20:35:16 CET,42,2.9,61.8,10.31,24.34,39.27
2021-03-18 20:40:16 CET,43,3.0,62.4,9.02,27.22,47.09
2021-03-18 20:45:16 CET,44,3.0,62.9,10.08,18.86,27.78
2021-03-18 20:50:16 CET,45,2.8,63.9,5.27,9.05,12.78
2021-03-18 20:55:16 CET,46,2.8,64.3,12.23,37.69,65.54
2021-03-18 21:00:16 CET,47,2.7,65.1,3.93,11.56,19.87
2021-03-18 21:05:16 CET,48,2.4,66.4,5.23,12.73,20.73
2021-03-18 21:10:21 CET,49,2.4,66.7,6.01,14.22,22.95
2021-03-18 21:15:23 CET,50,2.3,67.2,7.41,12.12,16.68
2021-03-18 21:20:16 CET,51,2.3,67.2,9.05,27.41,47.47
2021-03-18 21:25:16 CET,52,2.3,67.1,11.38,16.07,20.13
2021-03-18 21:30:16 CET,53,2.4,66.3,6.18,15.34,25.16
2021-03-18 21:35:16 CET,54,2.6,65.2,8.82,21.86,35.83
2021-03-18 21:40:17 CET,55,2.6,64.5,4.04,4.45,4.45
2021-03-18 21:46:04 CET,56,2.5,65.1,4.5,7.64,10.72
2021-03-18 21:50:17 CET,57,2.5,66.6,7.35,19.58,32.78
2021-03-18 21:55:17 CET,58,2.5,66.3,5.82,12.87,20.29
2021-03-18 22:00:17 CET,59,2.5,66.4,7.41,8.16,8.16
2021-03-18 22:05:19 CET,60,2.3,66.4,6.9,20.35,35.01
2021-03-18 22:10:16 CET,61,2.3,66.4,3.37,3.71,3.71
2021-03-18 22:15:16 CET,62,2.3,65.8,8.73,25.22,43.17
2021-03-18 22:20:16 CET,63,2.4,65.4,11.03,21.51,32.27
2021-03-18 22:25:16 CET,64,2.4,65.2,9.91,17.64,25.38
2021-03-18 22:30:16 CET,65,2.2,67.5,6.73,7.42,7.42
2021-03-18 22:35:16 CET,66,1.9,70.1,11.62,17.76,23.47
2021-03-18 22:40:16 CET,67,1.9,71.4,8.53,19.91,32.0
2021-03-18 22:45:16 CET,68,2.0,70.9,3.12,5.96,8.86
2021-03-18 22:50:21 CET,69,2.1,69.0,5.81,16.74,28.64
2021-03-18 22:55:16 CET,70,2.1,69.0,4.2,9.52,15.14
2021-03-18 23:00:16 CET,71,2.0,69.0,4.71,5.19,5.19
2021-03-18 23:05:19 CET,72,2.0,69.1,8.8,13.91,18.75
2021-03-18 23:10:16 CET,73,2.1,69.2,7.08,21.63,37.54
2021-03-18 23:15:16 CET,74,2.0,69.5,4.71,5.19,5.19
2021-03-18 23:20:16 CET,75,1.9,69.9,2.24,7.67,13.65
2021-03-18 23:25:16 CET,76,2.0,69.5,5.8,12.73,20.02
2021-03-18 23:30:17 CET,77,2.1,69.4,3.37,3.71,3.71
2021-03-18 23:35:16 CET,78,2.1,70.2,10.11,22.98,36.6
2021-03-18 23:40:17 CET,79,2.1,70.6,7.41,8.16,8.16
2021-03-18 23:45:16 CET,80,2.2,70.7,6.08,10.74,15.39
2021-03-18 23:50:16 CET,81,2.2,71.1,7.46,20.33,34.25
2021-03-18 23:55:16 CET,82,2.2,71.1,8.75,9.64,9.64
2021-03-19 00:00:16 CET,83,2.1,70.7,5.69,8.05,10.1
2021-03-19 00:05:16 CET,84,2.1,70.7,11.0,29.13,48.7
2021-03-19 00:10:16 CET,85,2.0,71.7,9.04,19.49,30.46
2021-03-19 00:15:16 CET,86,2.0,72.2,11.52,13.15,13.67
2021-03-19 00:20:17 CET,87,2.1,71.9,9.09,23.79,39.62
2021-03-19 00:25:17 CET,88,2.0,72.1,7.05,13.57,20.23
2021-03-19 00:30:16 CET,89,2.1,71.9,6.06,6.68,6.68
2021-03-19 00:35:16 CET,90,2.0,72.2,6.88,12.4,17.94
2021-03-19 00:40:17 CET,91,2.1,71.5,6.6,14.37,22.54
2021-03-19 00:45:16 CET,92,2.0,71.7,13.19,24.73,36.46
2021-03-19 00:50:16 CET,93,2.0,72.1,4.21,9.59,15.28
2021-03-19 00:55:16 CET,94,2.1,72.8,6.72,19.09,32.54
2021-03-19 01:00:16 CET,95,2.0,72.5,5.49,18.42,32.65
2021-03-19 01:05:16 CET,96,2.0,71.5,5.34,9.52,13.71
2021-03-19 01:10:16 CET,97,2.1,70.4,11.29,23.3,35.79
2021-03-19 01:15:16 CET,98,2.1,69.8,6.13,11.07,16.05
2021-03-19 01:20:21 CET,99,2.0,69.4,1.19,4.29,7.73
2021-03-19 01:25:17 CET,100,2.0,69.5,7.88,11.48,14.69
2021-03-19 01:30:16 CET,101,2.0,68.9,9.86,29.11,50.09
2021-03-19 01:35:16 CET,102,2.0,69.1,4.28,10.06,16.21
2021-03-19 01:40:16 CET,103,2.0,69.1,6.99,17.04,27.78
2021-03-19 01:45:16 CET,104,1.9,69.4,5.39,5.93,5.93
2021-03-19 01:50:16 CET,105,1.8,69.4,5.39,5.93,5.93
2021-03-19 01:55:16 CET,106,1.9,68.8,9.3,21.28,33.97
2021-03-19 02:00:16 CET,107,2.0,68.3,5.1,7.91,10.54
2021-03-19 02:05:16 CET,108,2.0,68.5,8.93,26.57,45.81
2021-03-19 02:10:16 CET,109,2.0,67.9,5.24,8.85,12.38
2021-03-19 02:15:16 CET,110,2.0,68.2,2.52,5.7,9.07
2021-03-19 02:20:16 CET,111,2.0,68.2,6.73,7.42,7.42
2021-03-19 02:25:19 CET,112,1.8,68.8,2.69,2.97,2.97
2021-03-19 02:30:16 CET,113,1.8,68.8,7.93,11.82,15.37
2021-03-19 02:35:24 CET,114,1.7,70.8,11.44,12.61,12.61
2021-03-19 02:40:16 CET,115,1.6,70.8,3.91,7.51,11.19
2021-03-19 02:45:16 CET,116,1.4,71.3,9.19,20.52,32.48
2021-03-19 02:50:17 CET,117,1.4,71.4,3.78,6.61,9.41
2021-03-19 02:55:16 CET,118,1.4,72.0,2.66,6.68,11.0
2021-03-19 03:00:17 CET,119,1.5,71.9,4.14,9.09,14.3
2021-03-19 03:05:16 CET,120,1.7,71.8,1.71,4.03,6.49
2021-03-19 03:10:22 CET,121,1.6,70.9,6.06,6.68,6.68
2021-03-19 03:15:17 CET,122,1.6,70.8,3.37,3.71,3.71
2021-03-19 03:20:16 CET,123,1.5,70.2,5.31,9.37,13.41
2021-03-19 03:25:16 CET,124,1.5,69.8,5.3,9.29,13.25
2021-03-19 03:30:16 CET,125,1.5,70.1,3.22,6.59,10.1
2021-03-19 03:35:16 CET,126,1.6,69.2,4.17,9.27,14.66
2021-03-19 03:40:16 CET,127,1.5,69.3,7.34,11.64,15.73
2021-03-19 03:45:16 CET,128,1.5,69.7,3.37,3.71,3.71
2021-03-19 03:50:16 CET,129,1.4,69.7,4.97,14.83,25.59
2021-03-19 03:55:16 CET,130,1.3,70.1,1.73,4.11,6.65
2021-03-19 04:00:16 CET,131,1.3,70.4,9.82,21.0,32.72
2021-03-19 04:05:16 CET,132,1.3,70.3,2.16,7.12,12.57
2021-03-19 04:10:16 CET,133,1.2,70.9,4.04,4.45,4.45
2021-03-19 04:15:16 CET,134,1.3,70.7,2.34,8.39,15.07
2021-03-19 04:20:16 CET,135,1.2,70.9,7.41,8.16,8.16
2021-03-19 04:25:16 CET,136,1.0,71.5,6.44,17.14,28.71
2021-03-19 04:30:19 CET,137,1.1,71.6,5.44,10.26,15.17
2021-03-19 04:35:16 CET,138,1.0,71.6,9.8,16.89,23.9
2021-03-19 04:40:16 CET,139,0.9,72.0,12.56,32.1,53.11
2021-03-19 04:45:16 CET,140,1.0,72.2,4.19,9.4,14.9
2021-03-19 04:50:16 CET,141,1.0,72.1,7.41,8.16,8.16
2021-03-19 04:55:16 CET,142,0.9,72.3,2.02,2.23,2.23
2021-03-19 05:00:17 CET,143,0.9,72.8,4.11,8.89,13.91
2021-03-19 05:05:17 CET,144,0.9,72.9,6.05,10.57,15.06
2021-03-19 05:10:16 CET,145,0.8,73.0,7.35,11.71,15.87
2021-03-19 05:15:18 CET,146,0.8,72.9,3.99,11.93,20.61
