time,date,weekday,hour,loc,temp_pi,temp_sbs,temp_blue,hum_pi,hum_sbs,hum_blue,PM1_pi,PM2.5_pi,PM10_pi,PM2.5_sbs,PM10_sbs,precip,wind,wind_speed,wind_direction,cloud_cover,pressure,AQI,sunrise,noon,sunset,daylight
2021-03-18 17:00:00+01:00,2021-03-18,3,17,A,25.128571428571433,,4.886313400000001,36.42857142857143,,46.0,4.015714285714286,9.32357142857143,14.962142857142855,,,0.0,,11.119280999999999,60.945395999999995,62.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 18:00:00+01:00,2021-03-18,3,18,A,24.35,,4.7063136,34.175,,46.0,2.905,8.3525,14.282499999999999,,,0.0,,9.826088,61.55706800000001,100.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 19:00:00+01:00,2021-03-18,3,19,A,6.480000000000002,,4.4563136,49.98666666666668,,48.0,5.054,11.749333333333334,18.859333333333336,,,0.0,,9.178235,64.440025,100.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 20:00:00+01:00,2021-03-18,3,20,A,3.066666666666666,,4.0363135,61.09999999999999,,49.0,7.343333333333334,17.540833333333335,28.408333333333335,,,0.0,,7.235910400000001,84.289406,100.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 21:00:00+01:00,2021-03-18,3,21,A,2.4583333333333335,,3.3563135,66.14166666666667,,56.0,6.6433333333333335,14.654166666666663,23.088333333333335,,,0.0,,6.638072,139.3987,100.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 22:00:00+01:00,2021-03-18,3,22,A,2.1999999999999997,,2.5863134999999997,67.79166666666666,,63.0,7.280000000000001,14.491666666666669,21.93583333333333,,,0.0,,7.69592,169.2157,73.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-18 23:00:00+01:00,2021-03-18,3,23,A,2.0749999999999997,,1.3363135,69.94166666666668,,68.0,6.376666666666666,11.823333333333332,17.340833333333332,,,0.0,,5.815978,201.8014,54.0,,,2021-03-18 06:32:56.209197+01:00,2021-03-18 12:33:56+01:00,2021-03-18 18:35:30.551916+01:00,0 days 12:02:34.342719
2021-03-19 00:00:00+01:00,2021-03-19,4,0,A,2.0500000000000003,,0.30631348,71.79166666666667,,74.0,8.087499999999999,16.17,24.518333333333334,,,0.0,,4.2136917,199.98311,61.0,,,2021-03-19 06:30:55.693496+01:00,2021-03-19 12:33:38+01:00,2021-03-19 18:36:56.117743+01:00,0 days 12:06:00.424247
2021-03-19 01:00:00+01:00,2021-03-19,4,1,A,1.9833333333333332,,-0.23368654,69.81666666666666,,73.0,6.5441666666666665,13.952500000000002,21.710833333333337,,,0.0,,5.7599998,180.0,58.0,,,2021-03-19 06:30:55.693496+01:00,2021-03-19 12:33:38+01:00,2021-03-19 18:36:56.117743+01:00,0 days 12:06:00.424247
2021-03-19 02:00:00+01:00,2021-03-19,4,2,A,1.758333333333333,,-0.4036865,69.58333333333333,,65.0,5.843333333333333,10.430833333333334,15.020833333333334,,,0.0,,4.68,180.0,50.0,,,2021-03-19 06:30:55.693496+01:00,2021-03-19 12:33:38+01:00,2021-03-19 18:36:56.117743+01:00,0 days 12:06:00.424247
2021-03-19 03:00:00+01:00,2021-03-19,4,3,A,1.5166666666666666,,-0.47368649999999995,70.29166666666667,,63.0,4.224166666666666,7.6933333333333325,11.19,,,0.0,,2.968636,194.03624,97.0,,,2021-03-19 06:30:55.693496+01:00,2021-03-19 12:33:38+01:00,2021-03-19 18:36:56.117743+01:00,0 days 12:06:00.424247
2021-03-19 04:00:00+01:00,2021-03-19,4,4,A,1.1,,-0.97368646,71.37500000000001,,65.0,6.135833333333333,12.108333333333334,18.2625,,,0.0,,2.2768397,198.43495,20.0,,,2021-03-19 06:30:55.693496+01:00,2021-03-19 12:33:38+01:00,2021-03-19 18:36:56.117743+01:00,0 days 12:06:00.424247
