Location,Date,Time,Weather,Temperature (°C),Humidity (%),Wind (km/h),Pressure (mb),PM2.5 (µg/m³),Pm10 (µg/m³),AQI Value
stampfenbachstrasse,23/03/2021,10:00:00,Clear sky,3,65,3.7,1025,16,24.3, 59 
stampfenbachstrasse,23/03/2021,11:00:01,Clear sky,3,65,3.7,1025,14,20.9, 55 
stampfenbachstrasse,23/03/2021,12:00:01,Clear sky,7,57,14.8,1025,12,17.3, 50 
stampfenbachstrasse,23/03/2021,13:00:01,Clear sky,7,57,14.8,1025,N/A,N/A, 27 
stampfenbachstrasse,23/03/2021,14:00:01,Clear sky,9,40,11.1,1025,11,16.2, 45 
stampfenbachstrasse,23/03/2021,15:00:01,Clear sky,9,40,11.1,1025,10,15, 41 
stampfenbachstrasse,23/03/2021,16:00:01,Clear sky,10,43,7.4,1024,8,12.7, 33 
stampfenbachstrasse,23/03/2021,17:00:01,Clear sky,10,43,7.4,1024,6,10.5, 30 
stampfenbachstrasse,23/03/2021,18:00:01,Clear sky,9,43,9.3,1024,8,12, 33 
stampfenbachstrasse,23/03/2021,19:00:01,Clear sky,9,43,9.3,1024,7,11.1, 29 
stampfenbachstrasse,23/03/2021,20:00:01,Few clouds,7,46,3.7,1024,8,12.2, 33 
stampfenbachstrasse,23/03/2021,21:00:01,Few clouds,7,46,3.7,1024,8,12.2, 33 
stampfenbachstrasse,23/03/2021,22:00:01,Broken clouds,3,65,1.8,1025,8,11.9, 33 
stampfenbachstrasse,23/03/2021,23:00:01,Broken clouds,3,65,1.8,1025,10,14, 41 
stampfenbachstrasse,24/03/2021,00:00:01,Scattered clouds,1,75,2.7,1025,8,12.4, 33 
stampfenbachstrasse,24/03/2021,01:00:01,Scattered clouds,1,75,2.7,1025,8,12.4, 33 
stampfenbachstrasse,24/03/2021,02:00:01,Scattered clouds,0,80,2.3,1025,10,13.7, 41 
stampfenbachstrasse,24/03/2021,03:00:01,Scattered clouds,0,80,2.3,1025,9,12.9, 37 
stampfenbachstrasse,24/03/2021,04:00:01,Clear sky,-1,93,2.1,1025,10,13.7, 41 
stampfenbachstrasse,24/03/2021,05:00:01,Clear sky,-1,93,2.1,1025,10,13.7, 41 
stampfenbachstrasse,24/03/2021,06:00:01,Clear sky,-1,86,1.7,1025,10,13.6, 41 
stampfenbachstrasse,24/03/2021,07:00:01,Clear sky,-1,86,1.7,1025,10,14.8, 41 
stampfenbachstrasse,24/03/2021,08:00:01,Clear sky,-1,86,2.3,1025,N/A,14.8, 13 
stampfenbachstrasse,24/03/2021,09:00:01,Clear sky,-1,86,2.3,1025,14,19.9, 55 
stampfenbachstrasse,24/03/2021,10:00:01,Clear sky,4,75,1.7,1026,18,25.2, 63 
stampfenbachstrasse,24/03/2021,11:00:01,Clear sky,4,75,1.7,1026,14,N/A, 55 
stampfenbachstrasse,24/03/2021,12:00:01,Clear sky,9,49,3.7,1025,15,22.9, 57 
stampfenbachstrasse,24/03/2021,13:00:02,Clear sky,9,49,3.7,1025,17,26, 61 
stampfenbachstrasse,24/03/2021,14:00:01,Clear sky,12,43,7.4,1024,11,18.9, 45 
stampfenbachstrasse,24/03/2021,15:00:01,Clear sky,12,43,7.4,1024,10,16.1, 41 
stampfenbachstrasse,24/03/2021,16:00:01,Clear sky,14,38,3.7,1023,13,18.6, 53 
stampfenbachstrasse,24/03/2021,17:00:02,Clear sky,14,38,3.7,1023,11,15.5, 45 
stampfenbachstrasse,24/03/2021,18:00:02,Clear sky,15,33,3.7,1022,10,14.3, 41 
stampfenbachstrasse,24/03/2021,19:00:01,Clear sky,15,33,3.7,1022,11,16.1, 45 
stampfenbachstrasse,24/03/2021,20:00:01,Scattered clouds,11,41,3.7,1022,11,N/A, 45 
stampfenbachstrasse,24/03/2021,21:00:01,Scattered clouds,11,41,3.7,1022,N/A,N/A, 13 
stampfenbachstrasse,24/03/2021,22:00:01,Clear sky,6,70,3.7,1023,N/A,13.4, 12 
