,time,id,temp,hum,PM1,PM2.5,PM10,EMA_0.1-PM1,upper_bound,lower_bound,outlier_ema,outlier_DBSCAN,PM1_updated,EMA_0.1-PM2.5,PM2.5_updated,EMA_0.1-PM10,PM10_updated,EMA_0.1-hum,hum_updated
0,2021-03-18 17:01:52 CET,1,25.2,35.7,4.04,4.45,4.45,4.04,44.64415212473607,26.755847875263935,False,False,4.04,4.45,4.45,4.45,4.45,35.7,35.7
1,2021-03-18 17:06:35 CET,2,25.2,35.6,5.35,13.51,22.28,4.171,44.634152124736076,26.745847875263937,False,False,5.35,5.356,13.51,6.2330000000000005,22.28,35.690000000000005,35.6
2,2021-03-18 17:11:17 CET,3,25.1,36.1,6.42,13.1,20.04,4.3959,44.67515212473607,26.786847875263934,False,False,6.42,6.1304,13.1,7.6137000000000015,20.04,35.731,36.1
3,2021-03-18 17:14:03 CET,4,25.4,36.4,2.3,8.11,14.53,4.186310000000001,44.74205212473608,26.853747875263938,False,False,2.3,6.32836,8.11,8.305330000000001,14.53,35.797900000000006,36.4
4,2021-03-18 17:15:26 CET,5,25.4,36.6,10.02,34.1,60.64,4.769679000000001,44.82226212473607,26.93395787526394,False,False,10.02,9.105523999999999,34.1,13.538797000000002,60.64,35.87811000000001,36.6
5,2021-03-18 17:19:28 CET,6,25.3,37.0,6.73,19.18,32.71,4.965711100000001,44.93445112473607,27.04614687526394,False,False,6.73,10.112971599999998,19.18,15.455917300000003,32.71,35.99029900000001,37.0
6,2021-03-18 17:20:11 CET,7,25.3,37.0,1.08,3.56,6.28,4.577139990000001,45.03542122473608,27.147116975263945,False,False,1.08,9.457674439999998,3.56,14.538325570000003,6.28,36.09126910000001,37.0
7,2021-03-18 17:22:14 CET,8,25.4,36.9,3.08,5.65,8.25,4.427425991000001,45.11629431473608,27.227990065263942,False,False,3.08,9.076906995999998,5.65,13.909493013000002,8.25,36.17214219000001,36.9
8,2021-03-18 17:33:35 CET,9,25.3,36.9,2.02,2.23,2.23,4.186683391900001,45.189080095736074,27.300775846263942,False,False,2.02,8.392216296399999,2.23,12.741543711700004,2.23,36.24492797100001,36.9
9,2021-03-18 17:39:11 CET,10,25.2,37.8,1.35,1.48,1.48,3.9030150527100007,45.344587298636085,27.456283049163947,False,False,1.35,7.700994666759999,1.48,11.615389340530003,1.48,36.400435173900014,37.8
10,2021-03-18 17:40:17 CET,11,25.2,37.8,2.36,4.6,6.89,3.7487135474390003,45.48454378124609,27.59623953177395,False,False,2.36,7.390895200083999,4.6,11.142850406477002,6.89,36.54039165651002,37.8
11,2021-03-18 17:45:16 CET,12,25.1,37.7,5.39,5.93,5.93,3.9128421926951007,45.600504615595085,27.712200366122953,False,False,5.39,7.244805680075599,5.93,10.621565365829303,5.93,36.65635249085902,37.7
12,2021-03-18 17:50:16 CET,13,24.2,34.0,3.74,10.2,17.19,3.895557973425591,45.33486936650918,27.44656511703705,False,False,3.74,7.5403251120680395,10.2,11.278408829246374,17.19,36.39071724177312,34.0
13,2021-03-18 17:55:16 CET,14,24.5,34.5,2.34,4.43,6.57,3.7400021760830318,45.14579764233187,27.25749339285974,False,False,2.34,7.2292926008612355,4.43,10.807567946321736,6.57,36.20164551759581,34.5
14,2021-03-18 18:00:16 CET,15,24.5,33.2,3.11,9.75,17.03,3.6770019584747287,44.84563309057229,26.95732884110016,False,False,3.11,7.481363340775113,9.75,11.429811151689563,17.03,35.90148096583623,33.2
15,2021-03-18 18:05:16 CET,16,23.9,33.8,2.09,6.63,11.61,3.518301762627256,44.63548499398868,26.747180744516545,False,False,2.09,7.396227006697602,6.63,11.447830036520607,11.61,35.69133286925261,33.8
16,2021-03-18 18:10:16 CET,17,24.3,34.7,3.34,11.38,20.24,3.500471586364531,44.53635170706342,26.648047457591286,False,False,3.34,7.794604306027842,11.38,12.327047032868546,20.24,35.59219958232735,34.7
17,2021-03-18 18:15:16 CET,18,24.7,35.0,3.08,5.65,8.25,3.458424427728078,44.477131748830686,26.588827499358555,False,False,3.08,7.580143875425058,5.65,11.91934232958169,8.25,35.53297962409462,35.0
19,2021-03-18 19:05:05 CET,20,21.8,29.8,5.21,12.59,20.47,3.63358198495527,43.90383378642123,26.015529536949092,False,False,5.21,8.081129487882553,12.59,12.774408096623523,20.47,34.95968166168516,29.8
20,2021-03-18 19:05:21 CET,21,21.7,29.8,4.35,14.45,25.56,3.7052237864597433,43.38786562025271,25.49956137078058,False,False,4.35,8.718016539094297,14.45,14.05296728696117,25.56,34.44371349551665,29.8
21,2021-03-18 19:11:46 CET,22,7.7,42.9,4.31,14.15,24.97,3.765701407813769,44.23349427070106,26.34519002122892,False,False,4.31,9.261214885184867,14.15,15.144670558265053,24.97,35.28934214596499,42.9
22,2021-03-18 19:20:17 CET,23,4.3,51.4,4.95,6.87,8.49,3.884131267032392,45.844560056104555,27.956255806632424,False,False,4.95,9.02209339666638,6.87,14.479203502438548,8.49,36.90040793136849,51.4
23,2021-03-18 19:24:29 CET,24,4.2,51.6,4.34,10.48,17.03,3.929718140329153,47.31451926296771,29.426215013495575,False,False,4.34,9.167884056999743,10.48,14.734283152194692,17.03,38.37036713823164,51.6
24,2021-03-18 19:25:16 CET,25,4.0,52.2,4.04,4.45,4.45,3.940746326296238,48.69748254914455,30.809178299672414,False,False,4.04,8.69609565129977,4.45,13.705854836975224,4.45,39.75333042440848,52.2
25,2021-03-18 19:26:54 CET,26,3.9,52.1,5.27,16.91,29.68,4.073671693666614,49.93214950670371,32.04384525723157,False,False,5.27,9.517486086169793,16.91,15.303269353277702,29.68,40.98799738196764,52.1
26,2021-03-18 19:30:16 CET,27,4.0,52.1,7.32,15.39,23.83,4.398304524299952,51.04334976850694,33.155045519034815,False,False,7.32,10.104737477552813,15.39,16.155942417949934,23.83,42.09919764377088,52.1
27,2021-03-18 19:34:08 CET,28,3.9,53.1,7.16,18.25,30.17,4.674474071869957,52.14343000412987,34.255125754657726,False,False,7.16,10.919263729797532,18.25,17.557348176154942,30.17,43.1992778793938,53.1
28,2021-03-18 19:35:16 CET,29,3.9,53.6,5.41,17.9,31.63,4.748026664682962,53.18350221619049,35.29519796671835,False,False,5.41,11.617337356817778,17.9,18.96461335853945,31.63,44.23935009145442,53.6
29,2021-03-18 19:40:16 CET,30,3.8,54.1,2.69,2.97,2.97,4.542223998214666,54.16956720704505,36.28126295757292,False,False,2.69,10.752603621136002,2.97,17.365152022685503,2.97,45.225415082308984,54.1
30,2021-03-18 19:42:51 CET,31,3.7,55.7,5.99,10.15,14.22,4.6870015983932,55.217025698814155,37.32872144934203,False,False,5.99,10.692343259022403,10.15,17.050636820416955,14.22,46.27287357407809,55.7
31,2021-03-18 19:45:16 CET,32,3.5,56.7,3.34,11.38,20.24,4.55230143855388,56.25973834140635,38.37143409193422,False,False,3.34,10.761108933120163,11.38,17.36957313837526,20.24,47.31558621667028,56.7
32,2021-03-18 19:50:18 CET,33,3.4,57.5,6.75,11.44,16.05,4.772071294698492,57.27817971973933,39.389875470267185,False,False,6.75,10.828998039808146,11.44,17.237615824537734,16.05,48.334027595003256,57.5
33,2021-03-18 19:55:21 CET,34,3.4,57.2,4.68,8.86,13.13,4.762864165228643,58.164776960238996,40.27647271076687,False,False,4.68,10.632098235827332,8.86,16.82685424208396,13.13,49.22062483550293,57.2
34,2021-03-18 20:00:16 CET,35,3.5,57.2,7.28,19.1,31.84,5.014577748705778,58.9627144766887,41.074410227216575,False,False,7.28,11.478888412244599,19.1,18.328168817875564,31.84,50.01856235195264,57.2
35,2021-03-18 20:05:16 CET,36,3.4,57.9,3.68,5.91,8.03,4.881119973835201,59.75085824149345,41.862553992021304,False,False,3.68,10.92199957102014,5.91,17.29835193608801,8.03,50.806706116757375,57.9
36,2021-03-18 20:10:16 CET,37,3.3,59.3,5.45,14.23,23.69,4.938007976451681,60.60018762981771,42.71188338034557,False,False,5.45,11.252799613918125,14.23,17.93751674247921,23.69,51.65603550508164,59.3
37,2021-03-18 20:15:16 CET,38,3.3,60.2,6.08,18.57,32.22,5.052207178806514,61.45458407930954,43.56627982983741,False,False,6.08,11.984519652526313,18.57,19.36576506823129,32.22,52.51043195457348,60.2
38,2021-03-18 20:20:16 CET,39,3.0,61.2,6.9,16.4,26.53,5.236986460925863,62.32354088385219,44.43523663438006,False,False,6.9,12.426067687273683,16.4,20.08218856140816,26.53,53.379388759116125,61.2
39,2021-03-18 20:25:16 CET,40,2.9,60.9,6.06,6.68,6.68,5.3192878148332765,63.075602007940574,45.187297758468446,False,False,6.06,11.851460918546314,6.68,18.741969705267344,6.68,54.13144988320451,60.9
40,2021-03-18 20:30:16 CET,41,2.9,61.2,5.76,12.44,19.45,5.363359033349949,63.782457019620125,45.894152770148,False,False,5.76,11.910314826691682,12.44,18.812772734740612,19.45,54.83830489488406,61.2
41,2021-03-18 20:35:16 CET,42,2.9,61.8,10.31,24.34,39.27,5.858023130014955,64.47862653013172,46.59032228065959,False,False,10.31,13.153283344022515,24.34,20.85849546126655,39.27,55.534474405395656,61.8
42,2021-03-18 20:40:16 CET,43,3.0,62.4,9.02,27.22,47.09,6.17422081701346,65.16517908959216,47.27687484012003,False,False,9.02,14.559955009620264,27.22,23.481645915139897,47.09,56.221026964856094,62.4
43,2021-03-18 20:45:16 CET,44,3.0,62.9,10.08,18.86,27.78,6.564798735312114,65.83307639310655,47.944772143634424,False,False,10.08,14.989959508658238,18.86,23.911481323625907,27.78,56.88892426837049,62.9
44,2021-03-18 20:50:16 CET,45,2.8,63.9,5.27,9.05,12.78,6.435318861780903,66.53418396626951,48.64587971679737,False,False,5.27,14.395963557792413,9.05,22.798333191263314,12.78,57.59003184153344,63.9
45,2021-03-18 20:55:16 CET,46,2.8,64.3,12.23,37.69,65.54,7.014786975602813,67.20518078211616,49.31687653264403,False,False,12.23,16.725367202013175,37.69,27.072499872136984,65.54,58.261028657380095,64.3
46,2021-03-18 21:00:16 CET,47,2.7,65.1,3.93,11.56,19.87,6.706308278042531,67.88907791637816,50.000773666906014,False,False,3.93,16.20883048181186,11.56,26.35224988492329,19.87,58.944925791642085,65.1
47,2021-03-18 21:05:16 CET,48,2.4,66.4,5.23,12.73,20.73,6.558677450238278,68.63458533721395,50.74628108774181,False,False,5.23,15.860947433630672,12.73,25.79002489643096,20.73,59.69043321247788,66.4
