Location,Date,Time,Weather,Temperature (°C),Humidity (%),Wind (km/h),Pressure (mb),PM2.5 (µg/m³),Pm10 (µg/m³),AQI Value
stampfenbachstrasse,23/03/2021,10:00:00,Clear sky,3.00,65.00,3.70,1025.00,16,24.30,59.00
stampfenbachstrasse,23/03/2021,11:00:01,Clear sky,3.00,65.00,3.70,1025.00,14,20.90,55.00
stampfenbachstrasse,23/03/2021,12:00:01,Clear sky,7.00,57.00,14.80,1025.00,12,17.30,50.00
stampfenbachstrasse,23/03/2021,13:00:01,Clear sky,7.00,57.00,14.80,1025.00,N/A,N/A,27.00
stampfenbachstrasse,23/03/2021,14:00:01,Clear sky,9.00,40.00,11.10,1025.00,11,16.20,45.00
stampfenbachstrasse,23/03/2021,15:00:01,Clear sky,9.00,40.00,11.10,1025.00,10,15.00,41.00
stampfenbachstrasse,23/03/2021,16:00:01,Clear sky,10.00,43.00,7.40,1024.00,8,12.70,33.00
stampfenbachstrasse,23/03/2021,17:00:01,Clear sky,10.00,43.00,7.40,1024.00,6,10.50,30.00
stampfenbachstrasse,23/03/2021,18:00:01,Clear sky,9.00,43.00,9.30,1024.00,8,12.00,33.00
stampfenbachstrasse,23/03/2021,19:00:01,Clear sky,9.00,43.00,9.30,1024.00,7,11.10,29.00
stampfenbachstrasse,23/03/2021,20:00:01,Few clouds,7.00,46.00,3.70,1024.00,8,12.20,33.00
stampfenbachstrasse,23/03/2021,21:00:01,Few clouds,7.00,46.00,3.70,1024.00,8,12.20,33.00
stampfenbachstrasse,23/03/2021,22:00:01,Broken clouds,3.00,65.00,1.80,1025.00,8,11.90,33.00
stampfenbachstrasse,23/03/2021,23:00:01,Broken clouds,3.00,65.00,1.80,1025.00,10,14.00,41.00
stampfenbachstrasse,24/03/2021,00:00:01,Scattered clouds,1.00,75.00,2.70,1025.00,8,12.40,33.00
stampfenbachstrasse,24/03/2021,01:00:01,Scattered clouds,1.00,75.00,2.70,1025.00,8,12.40,33.00
stampfenbachstrasse,24/03/2021,02:00:01,Scattered clouds,0.00,80.00,2.30,1025.00,10,13.70,41.00
stampfenbachstrasse,24/03/2021,03:00:01,Scattered clouds,0.00,80.00,2.30,1025.00,9,12.90,37.00
stampfenbachstrasse,24/03/2021,04:00:01,Clear sky,-1.00,93.00,2.10,1025.00,10,13.70,41.00
stampfenbachstrasse,24/03/2021,05:00:01,Clear sky,-1.00,93.00,2.10,1025.00,10,13.70,41.00
stampfenbachstrasse,24/03/2021,06:00:01,Clear sky,-1.00,86.00,1.70,1025.00,10,13.60,41.00
stampfenbachstrasse,24/03/2021,07:00:01,Clear sky,-1.00,86.00,1.70,1025.00,10,14.80,41.00
stampfenbachstrasse,24/03/2021,08:00:01,Clear sky,-1.00,86.00,2.30,1025.00,N/A,14.80,13.00
stampfenbachstrasse,24/03/2021,09:00:01,Clear sky,-1.00,86.00,2.30,1025.00,14,19.90,55.00
stampfenbachstrasse,24/03/2021,10:00:01,Clear sky,4.00,75.00,1.70,1026.00,18,25.20,63.00
stampfenbachstrasse,24/03/2021,11:00:01,Clear sky,4.00,75.00,1.70,1026.00,14,N/A,55.00
stampfenbachstrasse,24/03/2021,12:00:01,Clear sky,9.00,49.00,3.70,1025.00,15,22.90,57.00
