time,temp,precip,rel_humidity,wind_speed,wind_direction,cloud_cover
20210316T0000,2.5163136,0.0,91.0,17.58481,292.89056,35.0
20210316T0100,1.1963135,0.0,92.0,16.854767,289.98312,36.0
20210316T0200,0.54631346,0.0,93.0,15.03835,281.04095,0.0
20210316T0300,0.40631348,0.0,93.0,16.62249,274.96973,100.0
20210316T0400,0.31631348,0.0,93.0,19.70815,279.46234,100.0
20210316T0500,-0.09368652,0.0,95.0,20.620806,286.22018,100.0
20210316T0600,-0.29368654,0.0,95.0,19.9954,283.53586,100.0
20210316T0700,-0.5836865,0.0,95.0,21.829777,283.34872,100.0
20210316T0800,-0.4736865,0.0,93.0,23.795427,280.4599,100.0
20210316T0900,0.49631348,0.0,85.0,25.671307,284.62088,100.0
20210316T1000,1.8363135,0.0,77.0,26.420174,289.9164,100.0
20210316T1100,2.4363136,0.0,72.0,26.208395,290.9245,100.0
20210316T1200,2.6463134,0.0,70.0,26.999998,286.2602,48.0
20210316T1300,3.2363136,0.0,66.0,27.553526,287.48798,10.0
20210316T1400,5.0163136,0.0,60.0,23.4,292.61987,10.0
20210316T1500,6.0363135,0.0,55.0,23.806318,290.35324,24.0
20210316T1600,6.4663134,0.0,53.0,22.314194,287.85034,63.0
20210316T1700,6.5863137,0.0,52.0,21.749481,282.42593,62.0
20210316T1800,6.0763135,0.0,53.0,21.2522,280.7389,100.0
20210316T1900,5.7863135,0.0,57.0,20.969805,281.88867,81.0
20210316T2000,4.8563137,0.0,64.0,15.137133,267.27368,100.0
20210316T2100,4.3563137,0.0,70.0,14.799459,251.56506,100.0
20210316T2200,3.1963136,1.2,90.0,18.72346,271.1017,100.0
20210316T2300,3.6263134,0.1,89.0,18.448023,275.59933,100.0
20210317T0000,3.1063135,0.0,88.0,15.484185,271.3322,100.0
20210317T0100,2.5963135,0.1,90.0,16.700275,262.5686,100.0
20210317T0200,1.5763135,0.1,91.0,19.959719,262.74683,100.0
20210317T0300,1.5263135,0.2,92.0,17.163355,260.34012,100.0
20210317T0400,1.3463135,0.3,93.0,13.397612,263.82983,100.0
20210317T0500,1.3463135,0.2,93.0,8.64,270.0,100.0
20210317T0600,1.4363135,0.0,93.0,7.9526596,275.19443,100.0
20210317T0700,1.1563135,0.3,94.0,8.089993,290.85446,100.0
20210317T0800,1.2563134,0.1,93.0,9.957108,319.3987,100.0
20210317T0900,2.0963135,0.1,89.0,9.904906,19.093475,100.0
20210317T1000,3.2063136,0.0,76.0,12.4811535,33.231705,100.0
20210317T1100,3.6663134,0.1,71.0,17.782688,21.370605,95.0
20210317T1200,3.6163135,0.0,67.0,17.884428,40.100906,45.0
20210317T1300,4.2663136,0.0,59.0,18.861387,13.240509,80.0
20210317T1400,6.0863137,0.0,59.0,10.315115,330.7512,100.0
20210317T1500,6.0563135,0.3,61.0,10.948973,332.59244,100.0
20210317T1600,5.0863137,0.7,72.0,10.028439,338.9625,100.0
20210317T1700,5.2463136,0.8,68.0,13.202726,348.99646,100.0
20210317T1800,5.3363137,0.2,62.0,18.35647,11.309921,100.0
20210317T1900,4.7263136,0.0,66.0,16.45007,23.198593,100.0
20210317T2000,3.7363136,0.3,75.0,12.181625,18.970398,100.0
20210317T2100,3.0363135,0.7,83.0,20.991426,22.166351,100.0
20210317T2200,1.6763135,0.7,91.0,22.545315,38.516907,100.0
20210317T2300,1.2163135,0.5,91.0,23.933908,43.781113,100.0
20210318T0000,1.2063135,0.1,91.0,20.111729,44.274765,100.0
20210318T0100,1.2763135,0.0,90.0,22.159746,46.97493,100.0
20210318T0200,0.73631346,0.0,86.0,14.689588,53.97262,78.0
20210318T0300,0.9163135,0.0,86.0,13.044722,39.40065,100.0
20210318T0400,0.5563135,0.0,85.0,11.298495,22.479431,62.0
20210318T0500,-1.1636865,0.0,96.0,9.47012,8.74614,45.0
20210318T0600,-1.6836865,0.0,95.0,5.00128,30.256424,100.0
20210318T0700,-0.6736865,0.0,91.0,1.1384199,71.56504,100.0
20210318T0800,-1.6436865,0.0,93.0,3.319036,220.6013,100.0
20210318T0900,-0.3936865,0.0,83.0,5.3517847,250.34618,58.0
20210318T1000,2.1763134,0.0,71.0,3.9763298,275.19443,5.0
20210318T1100,6.1063137,0.0,56.0,0.35999998,360.0,10.0
20210318T1200,6.4263134,0.0,52.0,3.563818,44.999985,17.0
20210318T1300,4.3063135,0.0,56.0,5.8048253,29.744873,48.0
20210318T1400,5.1063137,0.0,47.0,12.594856,59.036255,30.0
20210318T1500,4.9963136,0.0,45.0,13.049689,65.55604,47.0
20210318T1600,5.0463133,0.0,45.0,11.91812,64.98311,57.0
20210318T1700,4.8863134,0.0,46.0,11.119281,60.945396,62.0
20210318T1800,4.7063136,0.0,46.0,9.826088,61.557068,100.0
20210318T1900,4.4563136,0.0,48.0,9.178235,64.440025,100.0
20210318T2000,4.0363135,0.0,49.0,7.2359104,84.289406,100.0
20210318T2100,3.3563135,0.0,56.0,6.638072,139.3987,100.0
20210318T2200,2.5863135,0.0,63.0,7.69592,169.2157,73.0
20210318T2300,1.3363135,0.0,68.0,5.815978,201.8014,54.0
20210319T0000,0.30631348,0.0,74.0,4.2136917,199.98311,61.0
20210319T0100,-0.23368654,0.0,73.0,5.7599998,180.0,58.0
20210319T0200,-0.4036865,0.0,65.0,4.68,180.0,50.0
20210319T0300,-0.4736865,0.0,63.0,2.968636,194.03624,97.0
20210319T0400,-0.97368646,0.0,65.0,2.2768397,198.43495,20.0
20210319T0500,-1.3136865,0.0,72.0,1.08,360.0,26.0
